sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,description_short,age_range,conditions_supported,specific_services,organization_type,status,last_verified
270,ChIJk1V5FMGb2EcRZageW9iCNYA,Elbow Grease,"8 East Rd, Temple Fields, Harlow CM20 2BJ, UK",51.7850704,0.1226915,,,+44 1279 445699,3,2,,https://maps.google.com/?cid=9238434076373723237,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJk1V5FMGb2EcRZageW9iCNYA,9F32Q4PF+23,"Q4PF+23 Harlow, UK",United Kingdom,CM20 2BJ,Harlow,England,Essex,,,,,,,
271,ChIJBbgFHnwTdkgRvMVPBOFZdjA,Harrow Association of Disabled People,"The Wealdstone Centre, 38-40 High St, Harrow HA3 7AE, UK",51.5943581,-0.3349291,Monday: 9:30?AM?�?4:30?PM; Tuesday: 9:30?AM?�?4:30?PM; Wednesday: 9:30?AM?�?4:30?PM; Thursday: 9:30?AM?�?4:30?PM; Friday: 9:30?AM?�?4:30?PM; Saturday: Closed; Sunday: Closed,http://www.had.org.uk/,+44 20 8861 9920,4.1,19,,https://maps.google.com/?cid=3492077384047248828,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJBbgFHnwTdkgRvMVPBOFZdjA,9C3XHMV8+P2,"HMV8+P2 Harrow, UK",United Kingdom,HA3 7AE,Harrow,England,Greater London,,,,,,,
272,ChIJVYRtlfJtdkgR2kWmpAff4ag,Mencap,"Moorcroft Complex, Harlington Rd, Uxbridge UB8 3HD, UK",51.5234787,-0.4494522,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://www.mencap.org.uk/,+44 1895 230759,4.7,10,,https://maps.google.com/?cid=12169252892051916250,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJVYRtlfJtdkgR2kWmpAff4ag,9C3XGHF2+96,"GHF2+96 Uxbridge, UK",United Kingdom,UB8 3HD,Uxbridge,England,Greater London,,,,,,,
273,ChIJ15WrV8NhdkgRRuDuUBgNMXE,"Saffron House, NHS South Buckinghamshire Community Mental Health Hub","Easton St, High Wycombe HP11 1NH, UK",51.6283782,-0.7439013,,http://www.oxfordhealth.nhs.uk/,+44 1865 901462,2.1,15,,https://maps.google.com/?cid=8156314798232887366,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ15WrV8NhdkgRRuDuUBgNMXE,9C3XJ7H4+9C,"J7H4+9C High Wycombe, UK",United Kingdom,HP11 1NH,High Wycombe,England,Buckinghamshire,,,,,,,
274,ChIJDw_zMGIbdkgReDWKZ0PqNSs,Ingeus,"2nd Floor, Morelands, 5-23 Old St, London EC1V 9HL, UK",51.5236289,-0.09805219999999999,Monday: 9:00?AM?�?5:30?PM; Tuesday: 9:00?AM?�?5:30?PM; Wednesday: 9:00?AM?�?5:30?PM; Thursday: 9:00?AM?�?5:30?PM; Friday: 9:00?AM?�?5:30?PM; Saturday: Closed; Sunday: Closed,https://ingeus.co.uk/,+44 20 7265 3000,3.2,24,,https://maps.google.com/?cid=3113652292617385336,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJDw_zMGIbdkgReDWKZ0PqNSs,9C3XGWF2+FQ,"GWF2+FQ London, UK",United Kingdom,EC1V 9HL,London,England,Greater London,,,,,,,
275,ChIJf5OVhxgDdkgRPQ2mAqF_vi4,Lewisham Community Space,"Lewisham Shopping Centre, Molesworth St, London SE13 7HB, UK",51.4607931,-0.012593,Monday: Closed; Tuesday: 10:30?AM?�?5:30?PM; Wednesday: 10:30?AM?�?5:30?PM; Thursday: 10:30?AM?�?5:30?PM; Friday: 10:30?AM?�?5:30?PM; Saturday: 12:30?�?4:00?PM; Sunday: Closed,https://lewishamcommunityspace.played.co/,+44 7511 702071,4.1,9,,https://maps.google.com/?cid=3368269900830608701,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJf5OVhxgDdkgRPQ2mAqF_vi4,9C3XFX6P+8X,"FX6P+8X London, UK",United Kingdom,SE13 7HB,London,England,Greater London,,,,,,,
276,ChIJ7YoTHfIz30cRCsp-gg1ZlvM,Kent Community Health NHS Foundation Trust,"D, The Oast House, Hermitage Ct, Maidstone ME16 9NT, UK",51.27823919999999,0.4787411,Monday: 8:30?AM?�?5:00?PM; Tuesday: 8:30?AM?�?5:00?PM; Wednesday: 8:30?AM?�?5:00?PM; Thursday: 8:30?AM?�?5:00?PM; Friday: 8:30?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://www.kentcht.nhs.uk/,+44 1622 211900,4.1,15,,https://maps.google.com/?cid=17552314512281881098,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ7YoTHfIz30cRCsp-gg1ZlvM,9F327FHH+7F,"7FHH+7F Maidstone, UK",United Kingdom,ME16 9NT,Maidstone,England,Kent,,,,,,,
277,ChIJ7Wr_HH4ddkgRDReNqltxFIg,London Ability,"5 Ellingham Rd, London E15 2AU, UK",51.552375,8.18e-05,Monday: 9:00?AM?�?4:30?PM; Tuesday: 9:00?AM?�?4:30?PM; Wednesday: 9:00?AM?�?4:30?PM; Thursday: 9:00?AM?�?4:30?PM; Friday: 9:00?AM?�?4:30?PM; Saturday: Closed; Sunday: Closed,http://www.londonability.org.uk/,+44 20 8519 5234,4.3,15,,https://maps.google.com/?cid=9805586927209748237,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ7Wr_HH4ddkgRDReNqltxFIg,9F32H222+W2,"H222+W2 London, UK",United Kingdom,E15 2AU,London,England,Greater London,,,,,,,
278,ChIJyZ5Je8yEdkgR2HhqlmvToDM,AutAngel,"12a S View Park, Marsack St, Reading RG4 5AF, UK",51.4677205,-0.9609565000000001,,http://autangel.org.uk/,,,,,https://maps.google.com/?cid=3720205751246551256,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJyZ5Je8yEdkgR2HhqlmvToDM,9C3XF29Q+3J,"F29Q+3J Reading, UK",United Kingdom,RG4 5AF,Reading,England,Berkshire,,,,,,,
279,ChIJuwKotAOs2EcR7BtI1iUjm3U,Edison Hill Search Limited,"Roxby House, 20-22 Station Rd, Sidcup DA15 7EJ, UK",51.42791649999999,0.1015553,Monday: 8:00?AM?�?7:00?PM; Tuesday: 8:00?AM?�?7:00?PM; Wednesday: 8:00?AM?�?7:00?PM; Thursday: 8:00?AM?�?7:00?PM; Friday: 8:00?AM?�?7:00?PM; Saturday: Closed; Sunday: Closed,http://www.edisonhillsearch.com/,+44 20 3762 2021,4.8,32,,https://maps.google.com/?cid=8474405769243532268,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJuwKotAOs2EcR7BtI1iUjm3U,9F32C4H2+5J,"C4H2+5J Sidcup, UK",United Kingdom,DA15 7EJ,Sidcup,England,Greater London,,,,,,,
280,ChIJ2ZnZlwas2EcRZ0QX331vx18,Carlton Centre and Ken Boyce Centre,"Carlton Rd, Sidcup DA14 6AH, UK",51.4248613,0.09808530000000001,Monday: 9:00?AM?�?4:00?PM; Tuesday: 9:00?AM?�?4:00?PM; Wednesday: 9:00?AM?�?4:00?PM; Thursday: 9:00?AM?�?4:00?PM; Friday: 9:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,https://careservices.bexley.gov.uk/Services/778,+44 20 8302 4619,4.2,29,,https://maps.google.com/?cid=6901607540373013607,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ2ZnZlwas2EcRZ0QX331vx18,9F32C3FX+W6,"C3FX+W6 Sidcup, UK",United Kingdom,DA14 6AH,Sidcup,England,Greater London,,,,,,,
281,ChIJiXPCGmEcdkgR5TmFXq2QH2o,Shaw Trust - Charity shop - Stoke Newington,"123 Stoke Newington High St, London N16 0PH, UK",51.56045049999999,-0.0741396,Monday: 10:00?AM?�?6:00?PM; Tuesday: 10:00?AM?�?6:00?PM; Wednesday: 10:00?AM?�?6:00?PM; Thursday: 10:00?AM?�?6:00?PM; Friday: 10:00?AM?�?6:00?PM; Saturday: 10:00?AM?�?6:00?PM; Sunday: 11:00?AM?�?5:00?PM,http://www.shaw-trust.org.uk/,+44 20 7241 6855,4.7,11,,https://maps.google.com/?cid=7646989766587922917,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJiXPCGmEcdkgR5TmFXq2QH2o,9C3XHW6G+58,"HW6G+58 London, UK",United Kingdom,N16 0PH,London,England,Greater London,,,,,,,
282,ChIJTWkC1QIIdkgRbZePln07STU,Choice Support,"1 Homeland Dr, Sutton SM2 5LY, UK",51.34930980000001,-0.1984903,,,,,,,https://maps.google.com/?cid=3839665567893002093,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJTWkC1QIIdkgRbZePln07STU,9C3X8RX2+PJ,"8RX2+PJ Sutton, UK",United Kingdom,SM2 5LY,Sutton,England,Greater London,,,,,,,
283,ChIJbbguXo4FdkgRc8ZSG2vIsEQ,Park House School (a BeyondAutism School),"48 North Side Wandsworth Common, London SW18 2SL, UK",51.4584315,-0.1786094,Monday: 9:30?AM?�?3:30?PM; Tuesday: 9:30?AM?�?3:30?PM; Wednesday: 9:30?AM?�?3:30?PM; Thursday: 9:30?AM?�?3:30?PM; Friday: 9:30?AM?�?3:30?PM; Saturday: Closed; Sunday: Closed,http://www.beyondautismschools.org.uk/parkhouse,+44 20 3031 9700,,,,https://maps.google.com/?cid=4949676352825640563,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJbbguXo4FdkgRc8ZSG2vIsEQ,9C3XFR5C+9H,"FR5C+9H London, UK",United Kingdom,SW18 2SL,London,England,Greater London,,,,,,,
284,ChIJS2MshBoFdkgRN76euMP1b8Q,Wandsworth Work Match Falcon Road Office,"100 Falcon Rd, London SW11 2LH, UK",51.4683103,-0.1710892,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.wandsworthworkmatch.org/,+44 20 8871 5191,2.4,5,,https://maps.google.com/?cid=14154802374813597239,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJS2MshBoFdkgRN76euMP1b8Q,9C3XFR9H+8H,"FR9H+8H London, UK",United Kingdom,SW11 2LH,London,England,Greater London,,,,,,,
285,ChIJraOMRDgPdkgR_oHjdfL1jE8,Wandsworth Sensory Support Services,"61 Princes Way, London SW19 6JB, UK",51.4430928,-0.2129839,Monday: 8:00?AM?�?5:30?PM; Tuesday: 8:00?AM?�?5:30?PM; Wednesday: 8:00?AM?�?5:30?PM; Thursday: 8:00?AM?�?5:30?PM; Friday: 8:00?AM?�?5:30?PM; Saturday: Closed; Sunday: Closed,http://www.lindenlodge.wandsworth.sch.uk/,+44 20 8788 0107,5,1,,https://maps.google.com/?cid=5732226847444533758,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJraOMRDgPdkgR_oHjdfL1jE8,9C3XCQVP+6R,"CQVP+6R London, UK",United Kingdom,SW19 6JB,London,England,Greater London,,,,,,,
286,ChIJgY_tdhAQdkgR2I4aOtbsQoE,Kennet West Skills Centre,"Kennet Rd, Maida Hill, London W9 3LG, UK",51.5255491,-0.2018695,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Open 24 hours; Friday: Closed; Saturday: Closed; Sunday: Closed,,,,,,https://maps.google.com/?cid=9314267384197582552,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJgY_tdhAQdkgR2I4aOtbsQoE,9C3XGQGX+67,"GQGX+67 London, UK",United Kingdom,W9 3LG,London,England,Greater London,,,,,,,
287,ChIJsaIGVz8bdkgRmza5NwJAhE4,Asperger London Area Group,"200a Pentonville Rd, London N1 9JP, UK",51.5312384,-0.1177161,,http://alag.org.uk/,+44 7435 560568,,,,https://maps.google.com/?cid=5657717410153182875,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJsaIGVz8bdkgRmza5NwJAhE4,9C3XGVJJ+FW,"GVJJ+FW London, UK",United Kingdom,N1 9JP,London,England,Greater London,,,,,,,
292,ChIJW22MGAEFdkgRE7X9poDB3Po,The Neurodiversity Family Hub,"56 Southwark Bridge Rd, London SE1 0AS, UK",51.50383979999999,-0.095971,,https://theneurodiversityfamilyhub.org/,+44 20 8051 6668,5,7,,https://maps.google.com/?cid=18076535762659947795,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJW22MGAEFdkgRE7X9poDB3Po,9C3XGW33+GJ,"GW33+GJ London, UK",United Kingdom,SE1 0AS,London,England,Greater London,,,,,,,
293,ChIJUSMWZg0ddkgRbyF9YJqMZfw,Southeast and East Asian Centre (SEEAC),"144 Cambridge Heath Rd, Bethnal Green, London E1 5QJ, UK",51.52415329999999,-0.05471289999999999,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://www.seeac.org.uk/,,,,,https://maps.google.com/?cid=18187097264877281647,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJUSMWZg0ddkgRbyF9YJqMZfw,9C3XGWFW+M4,"GWFW+M4 London, UK",United Kingdom,E1 5QJ,London,England,Greater London,,,,,,,
294,ChIJjyTYoqWl2EcR8zrbm1bpW6Q,Ab Phab Youth Club,"The Vibe, Dagenham RM8 2UX, UK",51.5565147,0.1196193,Monday: 6:00?�?8:30?PM; Tuesday: 6:00?�?8:30?PM; Wednesday: 6:00?�?8:30?PM; Thursday: Closed; Friday: Closed; Saturday: Closed; Sunday: Closed,https://www.abphabyouthclub.org.uk/,+44 7360 493102,4.9,8,,https://maps.google.com/?cid=11843316203292146419,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJjyTYoqWl2EcR8zrbm1bpW6Q,9F32H449+JR,"H449+JR Dagenham, UK",United Kingdom,RM8 2UX,Dagenham,England,Greater London,,,,,,,
295,ChIJWUbFdb-l2EcRTvwWUu61etA,Fun 'n' Fab Kids Centre,"Teresa Greene Community Centre, 25 Leys Ave, Dagenham RM10 9YP, UK",51.53495359999999,0.1682689,"Monday: 7:00?�?9:00?AM, 3:00?�?6:30?PM; Tuesday: 7:00?�?9:00?AM, 3:00?�?6:30?PM; Wednesday: 7:00?�?9:00?AM, 3:00?�?6:30?PM; Thursday: 7:00?�?9:00?AM, 3:00?�?6:30?PM; Friday: 7:00?�?9:00?AM, 3:00?�?6:30?PM; Saturday: Closed; Sunday: Closed",,+44 20 3645 3163,5,1,,https://maps.google.com/?cid=15022519542231792718,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJWUbFdb-l2EcRTvwWUu61etA,9F32G5M9+X8,"G5M9+X8 Dagenham, UK",United Kingdom,RM10 9YP,Dagenham,England,Greater London,,,,,,,
296,ChIJ2TzcFhjE2EcRj2ibggU-rcY,Share,"The Fryth, Beeleigh E, Basildon SS14 2RR, UK",51.5793571,0.4840408,Monday: 9:30?AM?�?3:30?PM; Tuesday: 9:30?AM?�?7:30?PM; Wednesday: 9:30?AM?�?3:30?PM; Thursday: 9:30?AM?�?7:30?PM; Friday: 9:00?AM?�?3:00?PM; Saturday: 9:30?AM?�?3:30?PM; Sunday: Closed,,+44 1268 521691,4.7,14,,https://maps.google.com/?cid=14316166983867656335,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ2TzcFhjE2EcRj2ibggU-rcY,9F32HFHM+PJ,"HFHM+PJ Basildon, UK",United Kingdom,SS14 2RR,Basildon,England,Essex,,,,,,,
298,ChIJk5UZXzAYdkgRf4w7bzkD4Qs,Play and Learn Day Nursery,"9 E Barnet Rd, London, New Barnet, Barnet EN4 8RR, UK",51.6501199,-0.1742772,Monday: 8:00?AM?�?6:00?PM; Tuesday: 8:00?AM?�?6:00?PM; Wednesday: 8:00?AM?�?6:00?PM; Thursday: 8:00?AM?�?6:00?PM; Friday: 8:00?AM?�?6:00?PM; Saturday: Closed; Sunday: Closed,https://www.playandlearnday.co.uk/,+44 20 3609 3342,2.6,10,,https://maps.google.com/?cid=855968949391297663,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJk5UZXzAYdkgRf4w7bzkD4Qs,9C3XMR2G+27,"MR2G+27 Barnet, UK",United Kingdom,EN4 8RR,Barnet,England,Greater London,,,,,,,
300,ChIJu6TPwdkQdkgRf0ThP88q_a8,St Josephs Pastoral Centre,"St Joseph's Grove, The Burrough's, Watford Wy, Hendon, London NW4 4TY, UK",51.58739,-0.2311449,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,,+44 20 8202 3999,4.4,26,,https://maps.google.com/?cid=12681339195363509375,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJu6TPwdkQdkgRf0ThP88q_a8,9C3XHQP9+XG,"HQP9+XG London, UK",United Kingdom,NW4 4TY,"Hendon, London",England,Middx,,,,,,,
302,ChIJE4jv4tkQdkgROzvWl9qC6AY,Fairplay Barnet,"St Josephs Grove, London NW4 4TY, UK",51.5872665,-0.2313747,,https://www.barnet.gov.uk/directories/directme/fair-play-barnet,+44 20 8203 1257,5,1,,https://maps.google.com/?cid=497791634186320699,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJE4jv4tkQdkgROzvWl9qC6AY,9C3XHQP9+WF,"HQP9+WF London, UK",United Kingdom,NW4 4TY,London,England,Greater London,,,,,,,
303,ChIJR6G3EY4XdkgR9ElAcs8DFJ0,Sense Family Centre - Barnet (Hadley Family Centre),"12 Hyde Cl, Hadley, London, Barnet EN5 5TJ, UK",51.6560715,-0.1998176,,,+44 300 330 9273,4.2,6,,https://maps.google.com/?cid=11318675952998828532,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJR6G3EY4XdkgR9ElAcs8DFJ0,9C3XMR42+C3,"MR42+C3 Barnet, UK",United Kingdom,EN5 5TJ,Barnet,England,Greater London,,,,,,,
305,ChIJXXbxL1MXdkgRiz1gwouJ61o,Barnet Parent Carer Forum,"Ivor Hall & Associates Ltd, 35 Hendon Ln, London N3 1RT, UK",51.59962729999999,-0.1968054,,http://barnetpcf.org.uk/,+44 7468 029705,,,,https://maps.google.com/?cid=6551481316295064971,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJXXbxL1MXdkgRiz1gwouJ61o,9C3XHRX3+V7,"HRX3+V7 London, UK",United Kingdom,N3 1RT,London,England,Greater London,,,,,,,
306,ChIJn0gJgD-bdkgROYr4FFWyrAQ,Berkshire Phab Centre,"22 Mount Pleasant, Reading RG1 2TD, UK",51.4481202,-0.9664132999999999,,,+44 118 916 8413,4.3,6,,https://maps.google.com/?cid=336840150639741497,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJn0gJgD-bdkgROYr4FFWyrAQ,9C3XC2XM+6C,"C2XM+6C Reading, UK",United Kingdom,RG1 2TD,Reading,England,Berkshire,,,,,,,
308,ChIJyYkfc70RdkgR8Sa7GSGT4Y0,Asian People's Disability Alliance,"Alric Ave, London NW10 8RA, UK",51.5444731,-0.2577361,Monday: 10:00?AM?�?4:00?PM; Tuesday: 10:00?AM?�?4:00?PM; Wednesday: 10:00?AM?�?4:00?PM; Thursday: 10:00?AM?�?4:00?PM; Friday: 10:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,http://www.apda.org.uk/,+44 20 8459 1030,4.3,7,,https://maps.google.com/?cid=10223614399482636017,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJyYkfc70RdkgR8Sa7GSGT4Y0,9C3XGPVR+QW,"GPVR+QW London, UK",United Kingdom,NW10 8RA,London,England,Greater London,,,,,,,
310,ChIJTYcklVIQdkgRzRkm_R6-63o,Brent Carers Centre,"3, Willesden Medical Centre, 144-150 High Rd, London NW10 2PT, UK",51.5475073,-0.2338846,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://brentcarerscentre.org.uk/,+44 20 3802 7070,4.3,22,,https://maps.google.com/?cid=8857382132459641293,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJTYcklVIQdkgRzRkm_R6-63o,9C3XGQX8+2C,"GQX8+2C London, UK",United Kingdom,NW10 2PT,London,England,Greater London,,,,,,,
313,ChIJJznD534RdkgRQw8HPxZFR6M,Brent Parent Carer Forum CIC,"Ground Floor, Barham Park Community Centre, 660 Harrow Rd, Wembley HA0 2HB, UK",51.5521351,-0.311156,Monday: 10:00?AM?�?2:30?PM; Tuesday: 10:00?AM?�?2:30?PM; Wednesday: Closed; Thursday: 10:00?AM?�?2:30?PM; Friday: Closed; Saturday: Closed; Sunday: Closed,http://brentpcf.org/,+44 7305 145167,,,,https://maps.google.com/?cid=11765448513377734467,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJJznD534RdkgRQw8HPxZFR6M,9C3XHM2Q+VG,"HM2Q+VG Wembley, UK",United Kingdom,HA0 2HB,Wembley,England,Greater London,,,,,,,
314,ChIJVYA68L0RdkgRs8GMmAyzm2I,Brent Family Support Project,"34 Craven Park, London NW10 8QN, UK",51.5417005,-0.2585191,Monday: Closed; Tuesday: 10:30?AM?�?2:30?PM; Wednesday: 10:30?AM?�?2:30?PM; Thursday: 10:30?AM?�?12:30?PM; Friday: Closed; Saturday: Closed; Sunday: Closed,https://www.brent.gov.uk/neighbourhoods-and-communities/community-directory/brent-family-support-project,+44 20 8965 5480,4.3,7,,https://maps.google.com/?cid=7105469703787430323,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJVYA68L0RdkgRs8GMmAyzm2I,9C3XGPRR+MH,"GPRR+MH London, UK",United Kingdom,NW10 8QN,London,England,Greater London,,,,,,,
315,ChIJ05tddP6r2EcRIrt9padoXlY,Advocacy for All,"The Civic Centre, St Mary's Rd, Swanley BR8 7BU, UK",51.3962644,0.1709709,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.advocacyforall.org.uk/,+44 345 310 1812,2.8,6,,https://maps.google.com/?cid=6223526804317911842,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ05tddP6r2EcRIrt9padoXlY,9F3295WC+G9,"95WC+G9 Swanley, UK",United Kingdom,BR8 7BU,Swanley,England,Kent,,,,,,,
316,ChIJrya8vQWq2EcRkDUwgwdTzik,Bromley and Downham Youth Club,"41 Valeswood Rd, Bromley BR1 4RD, UK",51.4218674,0.0077883,,https://www.bromley.gov.uk/directory-record/6116/bromley-and-downham-youth-and-community-centre,+44 20 8461 2597,4.4,27,,https://maps.google.com/?cid=3012436492488291728,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJrya8vQWq2EcRkDUwgwdTzik,9F32C2C5+P4,"C2C5+P4 Bromley, UK",United Kingdom,BR1 4RD,Bromley,England,Greater London,,,,,,,
317,ChIJodou84qs2EcRhpr1X4C-_nU,The Duke Youth Centre,"17 Sholden Gardens, Orpington BR5 4RA, UK",51.3873184,0.1154905,,,+44 1689 838797,5,1,,https://maps.google.com/?cid=8502442605097097862,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJodou84qs2EcRhpr1X4C-_nU,9F3294P8+W5,"94P8+W5 Orpington, UK",United Kingdom,BR5 4RA,Orpington,England,Greater London,,,,,,,
318,ChIJDYFe13Ks2EcRM6W3fe2515Q,The Link Youth Centre,"122 Midfield Way, Orpington BR5 2QL, UK",51.4091529,0.1026526,Monday: 8:30?AM?�?3:30?PM; Tuesday: 8:30?AM?�?3:30?PM; Wednesday: 8:30?AM?�?3:30?PM; Thursday: 8:30?AM?�?3:30?PM; Friday: 8:30?AM?�?3:30?PM; Saturday: Closed; Sunday: Closed,https://www.bromley.gov.uk/young-peoples-organised-activities/east-hub-link-youth-centre,+44 20 8300 6749,4.7,36,,https://maps.google.com/?cid=10725245467273700659,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJDYFe13Ks2EcRM6W3fe2515Q,9F32C453+M3,"C453+M3 Orpington, UK",United Kingdom,BR5 2QL,Orpington,England,Greater London,,,,,,,
319,ChIJrXbdKCoAdkgR84dhhOT4jDo,Hawes Down Primary School,"The Mead, West Wickham BR4 0BA, UK",51.3756425,-0.00554,Monday: 8:30?AM?�?4:00?PM; Tuesday: 8:30?AM?�?4:00?PM; Wednesday: 8:30?AM?�?4:00?PM; Thursday: 8:30?AM?�?4:00?PM; Friday: 8:30?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,http://www.hdps.org.uk/,+44 20 8639 4600,,,,https://maps.google.com/?cid=4219020611296528371,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJrXbdKCoAdkgR84dhhOT4jDo,9C3X9XGV+7Q,"9XGV+7Q West Wickham, UK",United Kingdom,BR4 0BA,West Wickham,England,Greater London,,,,,,,
320,ChIJueltnqCs2EcRNAPVo49AQ_A,Carers Bromley,"1 Kent Rd, St Mary Cray, Orpington BR5 4AD, UK",51.3858368,0.1129747,,,+44 1689 898289,4.6,5,,https://maps.google.com/?cid=17312752378215465780,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJueltnqCs2EcRNAPVo49AQ_A,9F3294P7+85,"94P7+85 Orpington, UK",United Kingdom,BR5 4AD,Orpington,England,Greater London,,,,,,,
321,ChIJYSto1cEBdkgRw0jMCxd2kLs,The Lunch Club (Rehoboth Community Outreach Club),"1, 18 Allwood Cl, London SE26 4JP, UK",51.4278282,-0.04486329999999999,Monday: 11:00?AM?�?2:00?PM; Tuesday: Closed; Wednesday: 2:30?�?4:00?PM; Thursday: 11:00?AM?�?2:00?PM; Friday: 1:00?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://rehobothcommunityoutreachclub.org/,+44 7487 738908,5,2,,https://maps.google.com/?cid=13515432323093121219,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJYSto1cEBdkgRw0jMCxd2kLs,9C3XCXH4+43,"CXH4+43 London, UK",United Kingdom,SE26 4JP,London,England,Greater London,,,,,,,
322,ChIJaXKWcHyr2EcRpfRxjiX9-Po,Bromley Parent Voice,"COMMUNITY HOUSE, South St, Bromley BR1 1RH, UK",51.4067223,0.0171192,,https://www.bromleyparentvoice.org.uk/,+44 7908 078661,,,,https://maps.google.com/?cid=18084482641451676837,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJaXKWcHyr2EcRpfRxjiX9-Po,9F32C248+MR,"C248+MR Bromley, UK",United Kingdom,BR1 1RH,Bromley,England,Greater London,,,,,,,
