sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_types,gmaps_business_status,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_utc_offset_minutes,gmaps_photo_reference_1,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,postcode_norm,gmaps_postcode_norm,likely_match,description_short,Description,city,region,local_authority,service_area,age_range,conditions_supported,specific_services,physical_access,organization_type,status,last_verified,llm_error
807,87,"South Croydon/Elmbridge
Special Help 4 Special Needs","Bourne House
475 Godstone Road
Whyteleafe CR3 0BL",51.2998253,-0.0726194999999734,,http://www.shsn.co.uk/,01883 621124/07917 454573,,,,,,,,,,,,,CR3 0BL,,,,,,,"Special Help 4 Special Needs has been set up to provide children and young adults with special needs the support they and those around them require to grow and develop.
-This includes those with Autism, Aspergers Syndrome, ADHD/ADD and Developmental Delay.","Welcome to Special Help 4 Special Needs.
Website: http://www.shsn.co.uk/
Special Help 4 Special Needs
Bourne House
475 Godstone Road
Whyteleafe CR3 0BL
Telephone: 01883 621124/07917 454573
Email: sh4sn@sky.com, Special Help 4 Special Needs has been set up to provide children and young adults with special needs the support they and those around them require to grow and develop. This includes those with Autism, Aspergers Syndrome, ADHD/ADD and Developmental Delay.",,,,,,,,,,,,
808,88,Sycamore Trust (was PACT) -Dagenham,,51.5385287,0.125158300000066,,www.sycamoretrust.org.uk,020 8517 9317,,,,,,,,,,,,,,,,,,,,"Information and support to families and individuals affected by Autism and Learning Disabilities living in Barking and Dagenham and the surrounding areas.
-Activities for children, young people and families.
-Social clubs, advocacy, help with welfare benefit forms, monthly parent support group and a befriending project.","enquiries@sycamoretrust.org.uk
Tel Daytime:020 8517 9317
www.sycamoretrust.org.uk
We offer information and support to families and individuals affected by Autism and Learning Disabilities living in Barking and Dagenham and the surrounding areas. Services include activities for children, young people and families, social clubs, advocacy, help with welfare benefit forms, monthly parent support group and a befriending project. www.sycamoretrust.org.uk  for further information, Sycamore Trust (was PACT)",,,,,,,,,,,,
809,89,Dartford Fathers' Club,,51.4442508,0.243215999999961,,,01634405168,,,,,,,,,,,,,,,,,,,,"Provides support and guidance for fathers of children who have autism.
-Two support groups: Dartford North West Kent Area and Maidstone Mid Kent Area.
-Meets monthly (except August).","E-mail
nwkfathers@aol.com
Tel:01634 405 168 - meets monthly (except August), Provides support and guidance for fathers of children who have autism. There are two support groups: Dartford North West Kent Area - Tel: 01322 668 501 - meets monthly (except August) and Maidstone Mid Kent Area -",,,,,,,,,,,,
810,90,Deptford- Alma autism,,51.47559,-0.0380840000000262,,www.almaautism.com,07711156955,,,,,,,,,,,,,,,,,,,,"Alma Autism also organises events to raise awareness of Autism and sets up quiet spaces/ sensory rooms at your social events.
-Alma Autism is based in London offering online support, home visits and reaching out to community groups all over the country with talks and seminars.","Alma Autism also organises events to raise awareness of Autism and sets up quiet spaces/ sensory rooms at your social events.
www.almaautism.com
Tel: 07711156955
email: almaautism@hotmail.com, Alma Autism is based in London offering online support, home visits and reaching out to community groups all over the country with talks and seminars.",,,,,,,,,,,,
811,91,Contact a Family -Ealing and Southall,,51.511073,-0.377232000000049,,http://www.cafamily.org.uk/advice-and-support/in-your-area/offices/ealing-and-southall/,,,,,,,,,,,,,,,,,,,,,"Contact a Family provides support, advice and information for families with disabled children, no matter what their condition or disability.","Contact a Family provides support, advice and information for families with disabled children, no matter what their condition or disability., http://www.cafamily.org.uk/advice-and-support/in-your-area/offices/ealing-and-southall/",,,,,,,,,,,,
812,92,"Ealing- Parents ADHD Support Group
Grange Children's Centre",,51.5035683,-0.305267500000014,,,07970 698 739,,,,,,,,,,,,,,,,,,,,"Drop in surgery/ coffee morning at the Grange Children's Centre in Ealing.
- Twice a month.
- Contact Wendy: 07970 698 739
- Contact email: wendy.smithmedia@btopenworld.com","Contact Wendy:
Tel: 07970 698 739
email: wendy.smithmedia@btopenworld.com, We have drop in surgery/ coffee morning twice a month at the Grange Children's Centre in Ealing.",,,,,,,,,,,,
813,93,Ealing Parent Carer Forum,,51.5132954,-0.304331499999989,,http://www.epcf.org.uk,,,,,,,,,,,,,,,,,,,,,"The Ealing Parent Carer Forum (EPCF) is a place to talk and share views.
-Focus on solutions and work in partnership with service providers.
-The parents and carers of children with additional needs are the real experts in deciding what care and support our children and young adults need.
-The forum brings together our collective experiences and views.","It is now properly recognised and demonstrated in the SEND reforms that we, the parents and carers of children with additional needs, are the real experts in deciding what care and support our children and young adults need.
By bringing together our collective experiences and views in the Ealing Parent and Carer Forum we can focus on solutions and work in partnership with service providers to improve support and care for our children and young people.
email: info@epcf.org.uk
http://www.epcf.org.uk, The Ealing Parent Carer Forum (EPCF) is much more than just a place to talk and share views.",,,,,,,,,,,,
814,94,Ealing Specialist Advice Service (ESAS),,51.5112426,-0.316080400000033,,http://www.ealingsas.org.uk/,020 8579 8429,,,,,,,,,,,,,,,,,,,,"ESAS offers free, confidential advice to carers or adults with additional needs in Ealing.
-Advice appointments can be arranged via telephone, text, email or by visiting the office.
-The main ESAS office is located at 135, Uxbridge Road.
-Office hours are Monday – 10:00am – 4:00pm, Tuesday - 10:00am – 4:00pm, Wednesday – closed all day, Thursday - 10:00am – 4:00pm, Friday – 10:00am – 1:00pm","ESAS can arrange advice appointments via telephone, text, email or by visiting the office.
The main ESAS office at 135, Uxbridge Road is open to visitors at the following times:
Monday – 10:00am – 4:00pm
Tuesday - 10:00am – 4:00pm
Wednesday – closed all day
Thursday - 10:00am – 4:00pm
Friday – 10:00am – 1:00pm
Please call the office if appointments are
required outside these times.
Contact ESAS:
http://www.ealingsas.org.uk/
Phone: 020 8579 8429 or 07837 186733
(Enquiries from 1/10/15 – 26/10/15 during office hours only)
Text: 07837 186 733
Email: info@ealingsas.org.uk, Ealing Specialist Advice Service offers free, confidential advice to carers or adults with additional needs in Ealing.",,,,,,,,,,,,
815,95,"Ealing- Connect Women’s Group
ASSIST London","12, The Broadway,
Ealing,
London W5 2NH",51.5138116,-0.303404099999966,,,020 8962 3018,,,,,,,,,,,,,W5 2NH,,,,,,,"Connect is a social group for all those who identify as women on the autism spectrum.
It is a relaxing space for people to meet and socialise with one another and plan and participate in running a variety of activities.","12, The Broadway,
Ealing,
London W5 2NH
Tel: 020 8962 3018
email: assistlondon@nas.org.uk, Held on the 1st and 3rd Wednesday in the month between 4pm-6pm, Connect is a social group for all those who identify as women on the autism spectrum. It is a relaxing space for people to meet and socialise with one another and plan and participate in running a variety of activities.",,,,,,,,,,,,
816,96,Ealing- Ealing Music Therapy,"149a Argyle Road,
Ealing,
London W13 0DB",51.5234408,-0.323933500000066,,http://ealingmusictherapy.org/,,,,,,,,,,,,,,W13 0DB,,,,,,,"A Saturday service is also provided for children under the age of 11 and their parents in a non-educational community venue.
Music is used as a means of communication that does not need words. It transcends culture and people of every background and ability can respond to the rhythms.","A Saturday service is also provided for children under the age of 11 and their parents in a non-educational community venue.
Music is used as a means of communication that does not need words. It transcends culture and people of every background and ability can respond to the rhythms.
Ealing Music Therapy
149a Argyle Road
Ealing
London W13 0DB
http://ealingmusictherapy.org/, Ealing Music Therapy offers music therapy sessions to children and young people in various schools in the Borough of Ealing who have special needs or any kind of difficulty.",,,,,,,,,,,,
817,97,Enfield Disability Action,"311 Fore Street,
London
N9 0PZ",51.6201219,-0.0636431000000357,,http://e-d-a.org.uk,020 8373 6228,,,,,,,,,,,,,N9 0PZ,,,,,,,"Disability Information, Advocacy & Advice Service.
Located in Enfield.
Provides disability information, advocacy and advice.
Call for assistance.","Enfield Disability Action
Community House
London
N9 0PZ
Tel: 020 8373 6228
Email: eda@e-d-a.org.uk
http://e-d-a.org.uk/
Disability Information, Advocacy & Advice Service, 311 Fore Street",,,,,,,,,,,,
818,98,Enfield Mencap,"1 Foxglove Close,
Edmonton N9 8LW",51.6482046,-0.0465924000000086,,http://www.enfieldmencap.org.uk/,020 8887 9980,,,,,,,,,,,,,N9 8LW,,,,,,,"Weekly respite service for parents and carers of learning-disabled adults living at home in the London Borough of Enfield.
-Service provides respite to parents and carers.
-Currently free at the point of delivery.
-Operates every Saturday 10:00 am–5:00 pm.","Enfield Mencap
General Telephone No: 020 8887 9980
E-mail: enquiries@enfieldmencap.org.uk
http://www.enfieldmencap.org.uk/
Saturday Respite
This is a service providing respite to parents and carers supporting learning-disabled adults living at home in the London Borough of Enfield. The service is currently free at the point of delivery, being funded through the Enfield Carers’ Grant.
The service is provided every Saturday (excluding Easter, Christmas and New Year) 10:00 am–5:00 pm. Unlike other Enfield Mencap services, no transport to and from the service is provided.
Club 18+
A dedicated after-school/college club for young adults in transition from Children’s to Adult services. The Club currently operates from The New Opportunity Centre . It begins at 3:30pm and continues through to 7:00pm each evening.
Gateway Clubs
Enfield Mencap is pleased to support the three Gateway Clubs operating in the Borough.
The three Clubs operate in different parts of the Borough on Tuesday, Wednesday and Thursday evenings. They provide recreational facilities for people with learning disabilities., The New Opportunity Centre, The Community Hall, 1 Foxglove Close, Edmonton N9 8LW",,,,,,,,,,,,
819,99,Enfield- Playtedz Holiday Respite Club,"4 Pitfield Way,
Enfield,
EN3 5BY",51.6633674,-0.0468627999999853,,http://www.durants.enfield.sch.uk/page/?title=Playtedz&pid=141,02088041980,,,,,,,,,,,,,EN3 5BY,,,,,,,"Playtedz Holiday Respite Club provides a tailor made bespoke service that suits individual needs but also includes a social strand for children and young adults.
It is our hope that we can support everyone at Playtedz to achieve as well as they can regardless of how complex their disability may be.","Durants School
4 Pitfield Way
Enfield
http://www.durants.enfield.sch.uk/page/?title=Playtedz&pid=141
Tel: (0208) 8041980
office@durants.enfield.sch.uk
Playtedz Holiday Respite Club provides a tailor made bespoke service that suits individual needs but also includes a social strand for children and young adults.
All children and young adults with additional needs may need an extra bit of help in their personal and social development through life. At Playtedz we recognize that some may need more support than others; we are all different and all have different needs.
It is our hope that we can support everyone at Playtedz to achieve as well as they can regardless of how complex their disability may be., EN3 5BY",,,,,,,,,,,,
820,100,Enfield-Our Voice,,51.6622925,-0.1180655,,https://www.ourvoiceenfield.org.uk,07516662315,,,,,,,,,,,,,,,,,,,,"Parent–led organisation working with parents and carers, statutory and voluntary sectors.
-Improves services for children and young people with disabilities or special educational needs in Enfield.
-Negotiates representation on decision-making bodies.
-Campaigns to change attitudes and remove barriers.","We are a parent–led organisation, working with parents and carers, as well as the statutory and voluntary sectors.
Tel: 07516 662315
Email: info @ ourvoiceenfield.org.uk
Aims
Our Voice aims to improve services for children and young people with disabilities or special educational needs in the borough of Enfield.
To do this we:
We negotiate representation on decision-making bodies
We invite service providers to consult us on local and national issues affecting our children and seek a can-do approach from them
We ask children, parents and carers to tell us about common concerns
We inform & support families though our newsletters, website, workshops and meetings
We campaign to change attitudes and remove barriers
We monitor changes in services, lobby for improvements and recognise and promote good practices
We help empower all parents of children with special needs and disabilities
We offer the following services:
-Family Network support help line
-Disability Network Meetings
-Information Newsletters
-Consultancy Services; e.g. running Parent consultations, or providing Training for Parents and Professionals, https://www.ourvoiceenfield.org.uk",,,,,,,,,,,,
821,101,Enfield -Unity 70 Phab Club,"The Wheatsheaf Hall,
Main Ave,
Bush Hill Pk,
Enfield EN1 1DS",51.6449283,-0.0639595000000099,,http://phab.org.uk/,0208 807 5691,,,,,,,,,,,,,EN1 1DS,,,,,,,,"The Wheatsheaf Hall, Main Ave, Bush Hill Pk, Enfield EN1 1DS
Jackie Ames
0208 807 5691
http://phab.org.uk/, Unity 70 Phab Club",,,,,,,,,,,,
822,102,Enfield -Zebras Childrens Club,"Boleyn Community Hall,
St Martins Close,
Enfield
EN1 4HW",51.6646877,-0.0543543,,http://www.zebrasclub.org,07534502244,,,,,,,,,,,,,EN1 4HW,,,,,,,"Services For Children & Adults With Disabilities Promoting Individuality -Inclusion- Acceptance
Activities and Skills group for Children aged from 3-16
Zebras Adults Group: ""ZAG"" OPENED TUESDAY 8TH MARCH 2016
Activities and Skills Group for Adults 18+
Time: 11.00 AM UNTIL 1.00PM - Fortnightly","Services For Children & Adults With Disabilities Promoting Individuality -Inclusion- Acceptance
Phone: 07534502244
07916285823
Email: zebrasclub@outlook.com
http://www.zebrasclub.org
Where To Find Us:
CLUB SESSIONS ARE HELD AT -
Boleyn Community Hall
St Martins Close
Enfield
EN1 4HW
Zebras Childrens Club:
Activities and Skills group for Children aged from 3-16
Time: SESSION ONE : 11.00AM TILL 1.PM
Zebras Adults Group: "" ZAG"" OPENED TUESDAY 8TH MARCH 2016
Activities and Skills Group for Adults 18+.
Time: 11.00 AM UNTIL 1.00PM - Fortnightly
Starting Tuesday 8th March 2016
Please request a booking form by using the website http://www.zebrasclub.org/our-services, Zebras Childrens Club",,,,,,,,,,,,
823,103,In-Clued -East Sussex,,51.1218369,0.130956500000025,,www.in-clued.co.uk,01892 770946,,,,,,,,,,,,,,,,,,,,"We offer support, advice and friendship for parents and carers of children and young people up to 25 years old with any type of special needs and disabilities; and activities for the children, young people and their brothers and sisters.","Tel Daytime:01892 770946
Website:
www.in-clued.co.uk
We offer support, advice and friendship for parents and carers of children and young people up to 25 years old with any type of special needs and disabilities; and activities for the children, young people and their brothers and sisters., E-mail:Inclued.community@gmail.com",,,,,,,,,,,,
824,104,Essex Family Forum,,51.7343313,0.469088800000009,,,"07742 958 003, 07707 110592",,,,,,,,,,,,,,,,,,,,"The Essex Family Forum is a well-informed, connected and empowered community of families that includes children and young people up to the age of 25 with disabilities or additional needs.
-We will work in partnership with organisations, our Local Authority and health commissioners aiming for quality outcomes that meet the needs of all our families.
-We will also be part of the Eastern region and national network of forums.","https://essexfamilyforum.org
Tel:  07742 958 003 / 07707 110592
Email: hello@essexfamilyforum.org, The Essex Family Forum is a well-informed, connected and empowered community of families that includes children and young people up to the age of 25 with disabilities or additional needs. We will work in partnership with organisations, our Local Authority and health commissioners aiming for quality outcomes that meet the needs of all our families. We will also be part of the Eastern region and national network of forums.",,,,,,,,,,,,
825,105,Essex- Loughton Weekly Group to play learn and chat.,"Trinity Church,
Mannock Drive,
Loughton IG10 2JD",51.6549164,0.0832940999999892,,,07947730797,,,,,,,,,,,,,IG10 2JD,,,,,,,"Weekly group called Connect set up by Natasha of Dream Box Education. Natasha is an SEN teacher who now works directly with families in their homes.
-Specially designed play for children with additional needs.
-Advice about how to engage your child and encourage communication.
-For people in NE London, West Essex and Herts borders...","Weekly group called Connect set up by Natasha of Dream Box Education. Natasha is an SEN teacher who now works directly with families in their homes.
-Specially designed play for children with additional needs.
-Advice about how to engage your child and encourage communication.
-For people in NE London, West Essex and Herts borders...
-£3 per family including refreshments.
All welcome with or without your child.
No diagnosis necessary.
Call ahead with any questions.
tel: 07947730797
email: Tasha@dreamboxeducation.co.uk
Trinity Church,
Mannock Drive,
Loughton IG10 2JD,, -Share your concerns, chat and learn from others. Or just take time to relax and socialise.",,,,,,,,,,,,
826,106,"Essex 
SAFE (Supporting Asperger Families in Essex)","5 Pitfield
Great Baddow
Essex
CM2 9QY",51.7221298,0.486301300000036,,http://www.aspergers.org.uk/,,,,,,,,,,,,,,CM2 9QY,,,,,,,"SAFE (Supporting Asperger Families in Essex) is a parent support group that works to:
Raise awareness of Asperger syndrome
Provide support for individuals and families living with Asperger syndrome
Share information in order to raise the quality of care and understanding within our communities","SAFE (Supporting Asperger Families in Essex) is a parent support group that works to:
Raise awareness of Asperger syndrome
Provide support for individuals and families living with Asperger syndrome
Share information in order to raise the quality of care and understanding within our communities
Develop services for people and families affected by Asperger syndrome
http://www.aspergers.org.uk/
SAFE Registered Office:
5 Pitfield
Great Baddow
Essex
CM2 9QY, SAFE is a support group for individuals and families affected by Asperger Syndrome (AS) and High Functioning Autism (HFA) in Essex, including the unitaries of Southend and Thurrock.",,,,,,,,,,,,
827,107,Supporting Aspergers Families in Essex (SAFE),"145 London Road,
Rayleigh,
Essex
SS6 9AU",51.5941498,0.592997999999966,,www.aspergers.org.uk,,,,,,,,,,,,,,SS6 9AU,,,,,,,"Support group for individuals and families affected by Asperger Syndrome (AS) and High Functioning Autism (HFA) in Essex.
-Raise awareness and provide support.
-Share information to improve care and understanding.
-Develop services for individuals and families.","Supporting Aspergers Families in Essex (SAFE)
SAFE is a support group for individuals and families affected by Asperger Syndrome (AS) and High Functioning Autism (HFA) in Essex,
SAFE (Supporting Asperger Families in Essex) is a parent support group that works to raise awareness, provide support, share information in order to raise the quality of care and understanding within our communities and develop services for individuals and families affected by Asperger syndrome.
145 London Road,
Rayleigh
Essex
SS6 9AU
E-mail: info@safeessex.org.uk
Website:   www.aspergers.org.uk/, including the unitaries of Southend and Thurrock.",,,,,,,,,,,,
828,108,"Essex 
Phab You & Us Club
Nazeing","Bumbles Green Leisure Centre,
Nazeing,
Essex EN9 2SF",51.7212544,0.0438767000000553,,http://phab.org.uk,01992 892 529,,,,,,,,,,,,,EN9 2SF,,,,,,,"Weekly group called You & Us Club at Bumbles Green Leisure Centre, Nazeing.  Social group for adults with learning disabilities.
-Social group for adults with learning disabilities.
-Meet new people and make friends.
-Located in Nazeing, Essex.","Bumbles Green Leisure Centre, Nazeing, Essex EN9 2SF
Yvonne Belsey
01992 892 529
http://phab.org.uk/, Nazeing Phab You & Us Club",,,,,,,,,,,,
829,109,"Farnborough -Reach up Reach out 
Support Group for families of children with additional needs.","Farnborough Grange Nursery/Infant School,
Farnborough,
Hants GU14 8HW",51.3122016,-0.76217650000001,,,01252 541879,,,,,,,,,,,,,GU14 8HW,,,,,,,"Weekly group for families of children with additional needs.
Tuesday afternoons 1.15 – 2.45pm (Term time).
It is a chance to meet and chat to other parents and carers, and for your child to play and explore in a safe environment.
If your child is at nursery or pre-school then don’t worry you can still come along without them.","For families of children with additional needs
Tuesday afternoons 1.15 – 2.45pm (Term time)
It is a chance to meet and chat to other parents and carers,
and for your child to play and explore in a safe
environment.
If your child is at nursery or pre-school then don’t worry you can still come along without them.
Farnborough Grange Nursery/Infant School
Farnborough
Hants GU14 8HW
Park outside and follow the yellow footprints through the pedestrian gate
For further information please contact
Liz Jones (Early Support Co-ordinator)
on
01252 541879 or 07770233390, Moor Road",,,,,,,,,,,,
830,110,Gravesham & Dartford Phab Club,"Rectory Field,
Donald Biggs Drive,
Milton Road,
Gravesend DA12 2TL",51.4374518,0.380888400000003,,https://www.facebook.com/GandDPhabClub/,01474 568 655,,,,,,,,,,,,,DA12 2TL,,,,,,,"Gravesham & Dartford Phab Club is a social club for disabled and non-disabled people to meet and do various activities as equals.
-Social club for disabled and non-disabled people.
-Various activities as equals.
-Gravesend Rugby Club, Rectory Field, Donald Biggs Drive, Milton Road, Gravesend DA12 2TL","Gravesham & Dartford Phab Club
Gravesend Rugby Club, Rectory Field, Donald Biggs Drive, Milton Road, Gravesend DA12 2TL
Eileen Perks
01474 568 655
https://www.facebook.com/GandDPhabClub/
http://phab.org.uk/, Gravesham & Dartford Phab Club is a social club for disabled and non-disabled people to meet and do various activities as equals.",,,,,,,,,,,,
831,111,Greenwich -Families Living with Autism in Greenwich (FLAG),"Bungalow 4,
Wensley Close,
Eltham SE9 5AB",51.4490852,0.0525236999999379,,,07776 163120,,,,,,,,,,,,,SE9 5AB,,,,,,,"Regular drop-in sessions run by Families Living with Autism in Greenwich (FLAG).
-Venue: Bungalow 4, Wensley Close, Eltham SE9 5AB.
-Meet other parents and share experiences.
-Lesley will be available for information or advice.","Families Living with Autism in Greenwich (FLAG) run regular drop in sessions
Venue:Bungalow 4,
Wensley Close,
Eltham SE9 5AB.
Contact:Lesley Davis – FLAG
email:flag@live.co.uk
tel:07776 163120, If you are able, come and have a tea or coffee and a biscuit and meet other parents. Lesley will be available if there are issues on which you would like information or advice.",,,,,,,,,,,,
832,112,Greenwich -Ethnic Minorities Support Group for families on the autistic spectrum,"Charlton School,
Charlton Park Road,
Charlton, SE7 8HX",51.4817792,0.0460557000000108,,,0208 858 7254,,,,,,,,,,,,,SE7 8HX,,,,,,,"Weekly group called Parent Support, Ethnic Minorities Support Group for families on the autistic spectrum. The group meets every term at Charlton School, Charlton Park Road, Charlton, SE7 8HX.","Phone Rose Edumijeke 0208 858 7254 or
email: Rosejusttalk@yahoo.co.uk
Posted in Parent Support, Ethnic Minorities Support Group for families on the autistic spectrum. The group meets every term at Charlton School, Charlton Park Road, Charlton, SE7 8HX.",,,,,,,,,,,,
833,113,Greenwich Parent Voice,"PO Box 71515
SE10 1DH",51.4808496,-0.00292899999999463,,http://www.greenwichparentvoice.com/,,,,,,,,,,,,,,SE10 1DH,,,,,,,"Everyone working for Greenwich Parent Voice is a volunteer. We all care for a child with special needs.
We work together to inform, connect and empower all parents and carers of disabled children.
We are an independent group of parents in Greenwich.
We are committed to giving a voice to all carers of disabled children in government.","Everyone working for Greenwich Parent Voice is a volunteer. We all care for a child with special needs.
We work together to inform, connect and empower all parents and carers of disabled children.
We are an independent group of parents in Greenwich. We are committed to giving a voice to all carers of disabled children in government.
http://www.greenwichparentvoice.com/
Greenwich Parent Voice
PO Box 71515
SE10 1DH
Email info@greenwichparentvoice.com, London",,,,,,,,,,,,
834,114,Greenwich -We Listen Group for Families from Ethnic Minorities,"Waterways Children’s Centre,
Southwood Road,
Thamesmead, London SE28 8EZ",51.5016412,0.113657999999987,,,07533189473,,,,,,,,,,,,,SE28 8EZ,,,,,,,"The ‘We Listen’ group has been launched for families from an ethnic minority group who may have a child with social and communication difficulties or ASD (Autistic Spectrum Disorder).
The group meets on the third Friday of every month at Waterways Children’s Centre on Southwood Road, Thamesmead, London SE28 8EZ from 10am -12 noon.","Contact: Anne 07533189473
or email we.listen@yahoo.com, The ‘We Listen’ group has been launched for families from an ethnic minority group who may have a child with social and communication difficulties or ASD (Autistic Spectrum Disorder). The group meets on the third Friday of every month at Waterways Children’s Centre on Southwood Road, Thamesmead, London SE28 8EZ from 10am -12 noon.",,,,,,,,,,,,
835,115,Challengers -Guildford Playscheme,,51.2479545,-0.556497,,,,,,,,,,,,,,,,,,,,,,,"Challengers is an independent children's charity that, for more than 30 years, has developed and delivered inclusive play and leisure for disabled children and young people across Surrey, Hampshire and increasingly the surrounding areas.
-Inclusive play and leisure for disabled children and young people.
-Services delivered at Challengers Guildford and Farnham Centres as well as schemes based at schools and community youth centres.
-More than 138,000 hours delivered in 2014.",", Challengers is an independent children's charity that, for more than 30 years, has developed and delivered inclusive play and leisure for disabled children and young people across Surrey, Hampshire and increasingly the surrounding areas. The charity is based in Guildford (at 'Challengers Guildford Playcentre', our headquarters and one of our full time playcentres). In 2014 we delivered more than 138,000 hours for 1,300 disabled children. These services were delivered at Challengers Guildford and Farnham Centres as well as schemes based at schools and community youth centres all through the year.",,,,,,,,,,,,
836,116,"Hackney Ark  (CAMHS)
Events, meetings, parenting groups and parent coffee mornings.",,51.5511124,-0.0689585000000079,,http://www.cityandhackneycamhs.org.uk/events/,,,,,,,,,,,,,,,,,,,,,"Specialist tier 3 NHS Child and Adolescent Mental Health service (CAMHS) for children with disabilities and emotional/behavioural and mental health concerns.
-Work with children and young people with moderate to profound learning disabilities.
-Disability consultation meetings, parenting groups and parent coffee mornings.","Our events include Disability consultation meetings, parenting groups and parent coffee mornings.
Calendar of upcoming events:
http://www.cityandhackneycamhs.org.uk/events/, This is a specialist tier 3 NHS Child and Adolescent Mental Health service (CAMHS) for children with disabilities and emotional/behavioural and mental health concerns. Our work is with children and young people with moderate to profound learning disabilities.",,,,,,,,,,,,
837,117,"Hackney CAMHS
Support group for parents of young people with Autism.","15 Homerton Row,
London E9 6ED",51.549383,-0.0476668000000018,,,0203 222 5600,,,,,,,,,,,,,E9 6ED,,,,,,,"CAMHS led support group for parents of young people with Autism.
First Friday of the month.
9:30 AM - 11:30 AM.","CAMHS led support group for parents of young people with Autism.
First Friday of the month.
9:30 AM - 11:30 AM.
Contact:
Dr Laura Roughan Clinical Psychologist
0203 222 5600
or Heather Scott
0207 0147025, 15  Homerton Row, London E9 6ED",,,,,,,,,,,,
838,118,"Hackney Independent Forum for 
Parents/Carers of Children with Disabilities",,51.5517953,-0.0646437000000333,,http://www.hiphackney.org.uk,07985739851,,,,,,,,,,,,,,,,,,,,"About HIP — what we want to achieve
Health
Social Care — including short breaks and respite care
Education (schools)
Voluntary organisations
Universal services like libraries and sports centres
Housing
We are a member of the National Network of Parent Carer Forums (NNPCF).","About HIP — what we want to achieve
Health
Social Care — including short breaks and respite care
Education (schools)
Voluntary organisations
Universal services like libraries and sports centres
Housing
We are a member of the National Network of Parent Carer Forums (NNPCF).
http://www.hiphackney.org.uk
Tel: 07985 739851
Email : info@hiphackney.org.uk, HIP is all about trying help parents become ‘empowered’, get our voices heard and have real influence over the services our children use including:",,,,,,,,,,,,
839,119,"Hackney- KEEN 
One-to-one support,
Sports and activity sessions","Unit B11,
3 Bradbury Street,
London, N16 8JN",51.5486677,-0.0762268999999378,,https://www.keenlondon.org,0207 686 3172,,,,,,,,,,,,,N16 8JN,,,,,,,"KEEN London is the only charity in London providing one-to-one support at free sports and activity sessions for children with additional needs or disabilities. We believe no child should miss out on the benefits of sports and physical activity. With the support of our amazing volunteers, our weekly sessions give our athletes the chance to play games, make friends and, most importantly, have fun!","KEEN London is the only charity in London providing one-to-one support at free sports and activity sessions for children with additional needs or disabilities. We believe no child should miss out on the benefits of sports and physical activity. With the support of our amazing volunteers, our weekly sessions give our athletes the chance to play games, make friends and, most importantly, have fun!
At our sessions, each athlete is paired with a trained volunteer coach for individual support. This means they benefit from one-to-one attention and care. It also means their parents can leave their children in a secure and safe environment.
For families, volunteers, supporters and athletes, this means the KEEN family is one of a kind: welcoming, safe, supportive, rewarding and fun.
https://www.keenlondon.org
KEEN London
Unit B11, 3 Bradbury Street
London, N16 8JN
Tel: 0207 686 3172
email: info@keenlondon.org, What is KEEN London?",,,,,,,,,,,,
840,120,Hammersmith -Action on Disability,"Lillie Road,
London SW6 7SR",51.4850102,-0.2040409,,,020 7385 2098,,,,,,,,,,,,,SW6 7SR,,,,,,,"User-led organisation managed and controlled by disabled people. 
-Campaign for the rights of disabled people and influence policy.
-Deliver high quality accessible activities promoting independent living.
-Give disabled people the knowledge and confidence about their rights.","Tel: 020 7385 2098 / 7381 2042
Action on Disability
Lillie Road
London SW6 7SR
A user led organisation managed and controlled by disabled people.
Mission:
-To campaign for the rights of disabled people and influence local and national policy and practice.
-To deliver high quality professional accessible activities which promote independent living.
-To give disabled people the knowledge and confidence about their rights enabling them to access opportunity, make choices and live independently.
Services
-Move it Mondays
This is a fun and inclusive dance class for disabled and non disabled young people co-delivered by DanceWest & Action on Disability. Suitable for young people aged 11-25 years. This partnership is delivered on a Monday evening at Lyric Hammersmith between 5pm and 6:30pm.
King StreetLondonW6 0QL
-Our youth club is delivered every term time Thursday (10 weeks) from 4:30pm to 7:30pm. The project is delivered from Cambridge School and is open to young people aged 13 yrs+ but is mostly attended by young people 16yrs+.
Tel: 020 8749 3858
email:Tamara.stuvier@actionondisability.org.ukinternet
-Friday After School Club
This is a term time project delivered every Friday (10 weeks) from 3:15 PM to 6:15 PM. The project is delivered at Lyric Hammersmith and is open to young people aged 11yrs to 16yrs. This project offers a variety of age appropriate activities., Email: info@actionondisability.org.uk",,,,,,,,,,,,
